target_name,target_id,disease_name,disease_id,relation,resolved,flagged,flags,flag_mechanisms,findings
TFPI,Gene::21788,atherosclerosis,Disease::MESH:D050197,GNBR::J::Gene:Disease,True,True,1,text_mining_only,"⚑ Real evidence vs. text-mining: The TFPI–atherosclerosis association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000003436/MONDO_0005311)"
HNF4A,Gene::3172,colorectal neoplasm,Disease::MESH:D015179,Hetionet::DaG::Disease:Gene,False,False,0,,
SERPINE1,Gene::5054,,Disease::MESH:D011475,GNBR::J::Gene:Disease,False,False,0,,
IL6,Gene::16193,neuralgia,Disease::MESH:D009437,GNBR::J::Gene:Disease,True,True,2,text_mining_only;absent_from_driver_cell,"⚑ Real evidence vs. text-mining: The IL6–neuralgia association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000136244/MONDO_0021667)
⚑ Present in the disease's driver cell: IL6 is not expressed in the cell type that drives neuralgia — its single-cell expression is confined to unrelated cell types (highest in Endometrial luminal cells (716), Luminal cells (716), Vascular smooth muscle cells (566)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000136244/single+cell)"
ANPEP,Gene::290,ovarian endometrioid stromal and related neoplasms,Disease::MESH:D009369,GNBR::L::Gene:Disease,False,False,0,,
CSF3,Gene::1440,melanoma,Disease::MESH:D008545,Hetionet::DaG::Disease:Gene,True,True,3,not_expressed_in_tissue;absent_from_driver_cell;mouse_ko_normal,"⚑ Expressed in the affected tissue: CSF3 is not expressed in the tissue affected by melanoma (Skin_Not_Sun_Exposed_Suprapubic 0.33 TPM, Skin_Sun_Exposed_Lower_leg 0.25 TPM; below 1 TPM), nor in its driver cell type — its RNA is highest in Lung (24), Muscle_Skeletal (10), Cells_Cultured_fibroblasts (6). A real absence, but weigh it against the drug's actual site of action (a drug can act on a different organ, e.g. a diuretic on the kidney).  (sources: https://gtexportal.org/home/gene/CSF3 | https://www.proteinatlas.org/ENSG00000108342/single+cell)
⚑ Present in the disease's driver cell: CSF3 is not expressed in the cell type that drives melanoma — its single-cell expression is confined to unrelated cell types (highest in Endometrial secretory cells (234), Secretory cells (234), Vascular endothelial cells (144)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000108342/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of CSF3 produces no phenotype relevant to melanoma — its 10 knockout phenotype(s) are in unrelated systems (e.g. abnormal neutrophil physiology, increased lymphocyte cell number, increased circulating alanine transaminase level, decreased leukocyte cell number) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000108342?tab=mouse_phenotypes)"
IL18,Gene::3606,myocardial ischemia,Disease::MESH:D017202,Hetionet::DaG::Disease:Gene,True,True,2,text_mining_only;absent_from_driver_cell,"⚑ Real evidence vs. text-mining: The IL18–myocardial ischemia association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000150782/MONDO_0024644)
⚑ Present in the disease's driver cell: IL18 is not expressed in the cell type that drives myocardial ischemia — its single-cell expression is confined to unrelated cell types (highest in Esophageal apical cells (2425), Apical squamous epithelial cells (2425), Ocular epithelial cells (816)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000150782/single+cell)"
REN,Gene::100358545,subarachnoid hemorrhage,Disease::MESH:D006470,GNBR::J::Gene:Disease,True,True,2,text_mining_only;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The REN–subarachnoid hemorrhage association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000143839/MONDO_0005099)
⚑ Mouse-knockout phenotype: The mouse knockout of REN produces no phenotype relevant to subarachnoid hemorrhage — its 57 knockout phenotype(s) are in unrelated systems (e.g. no abnormal phenotype detected, increased circulating aldosterone level, decreased physiological sensitivity to xenobiotic, polydipsia) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000143839?tab=mouse_phenotypes)"
MIR675,Gene::100033819,hepatocellular carcinoma,Disease::MESH:D006528,GNBR::L::Gene:Disease,True,False,0,,
BCL2,Gene::12043,,Disease::MESH:D002289,GNBR::L::Gene:Disease,False,False,0,,
CX3CR1,Gene::1524,,Disease::MESH:D015458,GNBR::X::Gene:Disease,False,False,0,,
LOXL1,Gene::16949,pelvic organ prolapse,Disease::MESH:D056887,GNBR::U::Gene:Disease,True,True,1,text_mining_only,"⚑ Real evidence vs. text-mining: The LOXL1–pelvic organ prolapse association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000129038/MONDO_0000082)"
LDLR,Gene::300438,diabetes mellitus,Disease::MESH:D003920,GNBR::L::Gene:Disease,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: LDLR is not expressed in the cell type that drives diabetes mellitus — its single-cell expression is confined to unrelated cell types (highest in Alveolar cells type 2 (985), Alveolar cells (985), Transitional alveolar cells (665)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000130164/single+cell)"
,Gene::101927655,muscular dystrophy,Disease::MESH:D009135,GNBR::U::Gene:Disease,False,False,0,,
GRN,Gene::2896,,Disease::MESH:C565957,GNBR::Te::Gene:Disease,False,False,0,,
CLCN2,Gene::1181,hyperaldosteronism,Disease::MESH:D006929,GNBR::U::Gene:Disease,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: CLCN2 is not expressed in the cell type that drives hyperaldosteronism — its single-cell expression is confined to unrelated cell types (highest in Retinal pigment epithelial cells (85), Pigment cells (85), Colonocytes (66)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000114859/single+cell)"
CSRP3,Gene::8048,heart failure,Disease::MESH:D006333,GNBR::U::Gene:Disease,True,False,0,,
TBC1D29P,Gene::26083,"azoospermia, obstructive, with nephrolithiasis",Disease::MESH:D053713,Hetionet::DdG::Disease:Gene,True,False,0,,
TCF4,Gene::6925,colorectal neoplasm,Disease::MESH:D015179,GNBR::L::Gene:Disease,True,True,3,text_mining_only;absent_from_driver_cell;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The TCF4–colorectal neoplasm association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000196628/MONDO_0005335)
⚑ Present in the disease's driver cell: TCF4 is not expressed in the cell type that drives colorectal neoplasm — its single-cell expression is confined to unrelated cell types (highest in pDCs (2704), dendritic cells (2704), Vascular endothelial cells (1659)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000196628/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of TCF4 produces no phenotype relevant to colorectal neoplasm — its 36 knockout phenotype(s) are in unrelated systems (e.g. increased startle reflex, postnatal lethality, complete penetrance, impaired balance, abnormal action potential) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000196628?tab=mouse_phenotypes)"
